calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
146,11,15,0,Appetizer,American,"This sweet and spicy , ,is the perfect appetizer. Made with feta cheese, cottage cheese, simple spices and a drizzle of hot honey, this creamy appetizer is perfectly paired with pita chips, veggies or as a spread on a sandwich.",8,,Sweet Heat Whipped Feta Dip with Cottage Cheese,https://ohsnapmacros.com/wp-content/uploads/2024/10/fetadip-10-300x300.jpg,12,"[{'amount': '8', 'unit': 'oz.', 'name': 'feta cheese, block or crumbled ', 'notes': 'full fat '}, {'amount': '1/3', 'unit': 'cup', 'name': 'low fat cottage cheese (drain excess water, if needed)', 'notes': '88g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'lemon juice', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'milk ', 'notes': 'any milk works! '}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'hot honey', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'chopped chives', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'crushed red pepper flakes', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black sesame seeds', 'notes': None}]","Add the feta, cottage cheese, lemon juice, olive oil, sea salt and black pepper to a food processor. Blend for 5 minutes until fully combined and smooth. Add the milk and blend again for another 3-5 minutes. This will help get that final smooth whip we want. ,Place the dip in the refridgerator to set for 2 hours prior to serving. The longer the better so it can thicken. ,Once thickened, pour the feta mixture into a serving dish.,Drizzle the hot honey over the whipped feta and sprinkle the chives, red pepper flakes, sesame seeds and black pepper on top. ",,,2,6,10,7,52905,4,8,341,8,Whipped Feta Dip
299,21,9,,"Salad, Side Dish",American,"This , makes the perfect side dish to your dinner party or holiday meal. It's an elegant salad with the perfect combination of flavors and textures from peppery arugula, crisp pears, crunchy walnuts and creamy feta cheese. It comes together quickly and is a perfect dish for special occasions. ",22,5,Rocket Fennel and Pear Salad,https://ohsnapmacros.com/wp-content/uploads/2024/10/rocketpearsalad-300x300.jpg,12,"[{'amount': '6', 'unit': 'cups', 'name': 'spring mix with arugula (rocket salad)', 'notes': None}, {'amount': '1', 'unit': 'medium', 'name': 'ripe pear', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'shallot, thinly sliced', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'walnuts, chopped', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'fennel bulb, thinly sliced ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'olive oil', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'sea salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}]","To prepare the dressing, add all dressing ingredients (olive oil, apple cider vinegar, dijon mustard, honey, sea salt, black pepper) to a small jar. Secure lid onto the jar and shake well until all of the ingredients are combined. Set aside.,Thinly slice pears, set aside. Add mixed greens to a large serving dish. Add pears, shallots, feta cheese, walnuts and fennel on top.,Generously pour dressing over the top of the salad. Gently toss salad ingredients with the dressing until everything is evenly coated. Serve immediately. ",11,,5,350,15,6,53489,4,5,202,12,Rocket Pear Salad
327,26,5,35,Side Dish,American,"A nutrient powerhouse, this , is one to add to your holiday or meal prep menu. It's loaded with crispy quinoa, fresh roasted kale, feta cheese and peptias and topped with a creamy lemon dressing that wraps this delicious salad with a bow.  ",24,6,Crispy Quinoa Kale and Apple Salad with Chili Oil,https://ohsnapmacros.com/wp-content/uploads/2024/10/crispyquinoakalesalad-20-300x300.jpg,19,"[{'amount': '1', 'unit': 'cup', 'name': 'cooked and cooled quinoa', 'notes': None}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'chili oil ', 'notes': '*'}, {'amount': '1/2', 'unit': 'tsp. ', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground cinnamon', 'notes': None}, {'amount': '8 ', 'unit': 'cups', 'name': 'roughly chopped kale', 'notes': 'ribs removed'}, {'amount': '1', 'unit': 'Tbsp. ', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'avocado ', 'notes': 'peeled and sliced thin'}, {'amount': '1', 'unit': 'small', 'name': 'shallot', 'notes': 'thily sliced '}, {'amount': '1', 'unit': 'small', 'name': 'apple', 'notes': 'thinly sliced'}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'pepitas', 'notes': 'pumpkin seeds'}, {'amount': '3', 'unit': 'Tbsp. ', 'name': 'feta cheese, crumbled', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'extra virgin olive oil', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'balsamic glaze', 'notes': '**'}, {'amount': '1', 'unit': None, 'name': 'lemon, juiced', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/8', 'unit': 'tsp.', 'name': 'black pepper ', 'notes': None}]","Preheat the oven to 400 degrees Fahrenheit. Line two rimmed baking sheets with parchment paper.,Spread the quinoa on the first baking sheet and toss with 2 tablespoons chili oil, 1/2 teaspoon salt, and 1/8 teaspoon ground cinnamon. Roast in the preheated oven for 15 minutes. Stir and shake the pan, then return to the oven for another 5 to 10 minutes, until golden brown. Set aside to cool.,Toss the kale leaves with 1 tbsp. olive oil, 1/2 teaspoon salt, and 1/4 teaspoon black pepper. Transfer to the second baking sheet and arrange in a single layer. Add to the oven when the quinoa is nearly done and roast for 8 to 10 minutes, stirring once, until softened and crisped.***,Prepare the salad dressing by whisking all the ingredients together until emulsified.,Assemble the salad by transferring the kale to a large serving bowl and topping it with avocado, shallot, apple, cranberries, pepitas, and feta. Drizzle the dressing over the salad and top with the crispy quinoa. Mix and serve immediately.",,,,460,10,6,53739,4,5,110,11,Crispy Quinoa Kale Salad
56,16,,2,Drinks,American,"This , is the perfect drink for holiday celebrations. Made with unsweetened cranberry juice, soda water and homemade rosemary simple syrup, this 60 calorie non-alcoholic drink can be shared with everyone. Hangover not included.",,,Cranberry Lime Mocktail with Easy Rosemary Simple Syrup,https://ohsnapmacros.com/wp-content/uploads/2024/09/cranberrylimemocktail-1-1-300x300.jpg,11,"[{'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'white sugar ', 'notes': None}, {'amount': '1', 'unit': 'sprig ', 'name': 'fresh rosemary ', 'notes': None}, {'amount': '1 ½', 'unit': 'tsp.', 'name': 'rosemary syrup', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'freshly squeeze lime juice', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'pure unsweetened cranberry juice', 'notes': None}, {'amount': '1/4-1/2', 'unit': 'cup', 'name': 'lime or lemon flavored sparkling water or seltzer', 'notes': None}, {'amount': None, 'unit': None, 'name': 'ice, as needed', 'notes': None}, {'amount': None, 'unit': None, 'name': 'rosemary ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'lime slices ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cranberries ', 'notes': None}]","Make a rosemary simple syrup by adding the water, granulated sugar, and rosemary to a small pot or saucepan. Set it over medium heat. Stir frequently to encourage the sugar to dissolve. Once the syrup just begins to simmer, remove it from the heat. Set it aside for 30 minutes to cool and allow the rosemary to further infuse its flavor. After 30 minutes, strain out the rosemary and bottle the syrup. Keep leftovers in the refrigerator for up to 2 weeks. ,Add 1 ½ teaspoons of the rosemary simple syrup to a rocks glass or short tumbler along with the lime juice and the cranberry juice. Stir to combine.,Fill the glass ½ to ¾ full of ice.,Top the drink with ¼ to ½ cup lime flavored sparkling water. ,If you prefer, you can garnish the mocktail with a rosemary sprig, a lime slice, and fresh cranberries before enjoying. ",,,,83,30,,52472,,1,2,14,Cranberry Lime Mocktail
393,54,88,20,Dessert,American,"This , is the perfect holiday dessert. Spiced with nutmeg, cinnamon and vanilla, the creamy sweet potato filling is decadent, rich and easy to make. No one will even notice the store-bought pie dough to help save on time and ensure a perfect flaky crust. Serve this pie with whipped cream and cinnamon for a beautiful holiday pie. ",19,3,Simple Sweet Potato Pie (store-bought crust),https://ohsnapmacros.com/wp-content/uploads/2024/10/sweetpotatopie-300x300.jpg,11,"[{'amount': '2', 'unit': 'lbs.', 'name': 'sweet potatoes', 'notes': 'approx 3 medium sweet potatoes'}, {'amount': '1/2', 'unit': 'cup', 'name': 'unsalted butter', 'notes': 'softened'}, {'amount': '1/2', 'unit': 'cup', 'name': 'light brown sugar', 'notes': 'packed'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar', 'notes': None}, {'amount': '2', 'unit': 'eggs', 'name': 'room temperature ', 'notes': None}, {'amount': '1/3', 'unit': 'cup', 'name': 'whole milk', 'notes': None}, {'amount': '1 1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'cinnamon', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'nutmeg', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'refrigerated pie crust', 'notes': None}]","Preheat oven to 400 degrees Fahrenheit.  Poke several holes in the potatoes with a fork.  Place potatoes on a baking sheet, bake until fork tender, about one hour.  Remove from oven and allow to cool for 5-10 minutes.,While the potatoes cool blind bake the pie crust. Roll the pie crust into a 9-inch pie plate and line with parchment paper or foil, fill it with pie weights or even raw beans.  Bake for 15-20 minutes, remove from the oven, carefully remove the pie weights, and set aside to cool.,Reduce oven temperature to 350 degrees Fahreneight.,Remove the skin from the cooked sweet potatoes, with a knife remove any scorched flesh or dark areas.,Add potatoes to the bowl of a food processor, and blend until the potatoes are pureed.  Or mash with a potato masher or ricer, until no large lumps remain. You should have 2 ¼ to 2 ½ cups of potato puree.,In a large bowl add the puree and softened butter.  Stir until the butter is melted and thoroughly incorporated.,Add brown sugar, white sugar, salt, cinnamon, and nutmeg and stir to combine.,Add the eggs, milk, and vanilla extract, stirring with a whisk until fully incorporated.,Pour the mixture into the par baked pie crust.  Bake for 1 hour, or until pie is puffed up and the center wiggles slightly.  Tent crust with foil the final 15 minutes of baking if it is getting too browned.,Remove the pie from the oven and cool for an hour, refrigerate until ready to serve.",6,,1,37,25,4,52627,10,8,413,33,Sweet Potato Pie
120,4,21,,Appetizer,American," has everything you love about a blue cheese stuffed dirty martini but in dip form. This creamy appetizer is great for parties, special events or when you want a dirty martini with more protein and no tini. ",8,,High Protein Blue Cheese Stuffed Dirty Martini Dip,https://ohsnapmacros.com/wp-content/uploads/2024/11/Dirtymartinidip10-300x300.jpg,8,"[{'amount': '2', 'unit': 'cups', 'name': 'low-fat cottage cheese', 'notes': '440g'}, {'amount': '4', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened '}, {'amount': '1/4', 'unit': 'cup', 'name': 'non-fat plain greek yogurt', 'notes': '56g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'garlic', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh black pepper', 'notes': None}, {'amount': '3', 'unit': 'Tbsp.', 'name': 'green olive juice', 'notes': None}, {'amount': '1', 'unit': 'cup', 'name': 'pimento-stuffed green olives, chopped', 'notes': '5.75 oz container'}, {'amount': '2', 'unit': 'oz.', 'name': 'blue cheese crumbles ', 'notes': None}]","In a medium mixing bowl combine the cottage cheese, softened cream cheese, greek yogurt, garlic powder, pepper and olive juice. Mix to combine until the cream cheese is fully combined into the mixture and no chunks remain. (See note below on blending.),Fold in the chopped green olives and blue cheese. Transfer to a sealable container and store in the fridge overnight or at least 4 hours. This allows the flavors to meld and the dip to thicken.,When ready to serve, transfer mixture to a serving bowl and top with additional green olives for garnish and blue cheese crumbles. Serve with pita chips, veggies and/or wheat thins. ",,,,52,10,10,54287,3,8,617,2,Dirty Martini Dip
65,18,,1,Drinks,drinks,"This , is perfect for hot summer days or your next spring get together. With a fizzy taste and tart flavor, this virgin sangria recipe is a blend of grape juice, soda water and fresh fruit and is guaranteed to please the crowd. ",,,White Sparkling Sangria Mocktail,https://ohsnapmacros.com/wp-content/uploads/2023/12/sangriamocktail-300x300.jpg,7,"[{'amount': '3', 'unit': 'cups', 'name': 'white grape juice', 'notes': None}, {'amount': '6', 'unit': 'Tbsp.', 'name': 'freshly squeezed lemon juice', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'sliced strawberries', 'notes': 'plus extra for garnish'}, {'amount': '2', 'unit': 'small', 'name': 'lemons', 'notes': 'sliced'}, {'amount': '1', 'unit': None, 'name': 'orange', 'notes': 'sliced'}, {'amount': '4', 'unit': 'cups', 'name': 'plain sparkling water', 'notes': 'or seltzer'}, {'amount': None, 'unit': None, 'name': 'Ice', 'notes': None}]","Add the white grape juice, lemon juice, sliced strawberries, sliced lemons, and sliced orange to a large pitcher. Stir to combine. Cover and refrigerate overnight or for at least 6-8 hours.,When you’re ready to serve, add the sparkling water to the pitcher. Stir gently, making sure not to break up the fruit. ,Fill wine glasses or rocks glasses three quarters full of ice, then pour the sangria over the ice. ,If desired, you can use extra fruit to garnish each drink. ",,,,85,5,1,42690,,8,6,15,White Sangria Mocktail
228,34,4,,Main Course,American,"This higher protein , is silky, light and full of fall flavors. Made with roasted vegetables, herbs and spices this , soup packs a punch of cream with cottage cheese for protein and richness. It's a wonderful easy recipe that's both simple and satisfying. ",4.4,3,Roasted Garlic Butternut Squash and Red Pepper Soup (13g protein),https://ohsnapmacros.com/wp-content/uploads/2024/10/butternutsquashsoup-300x300.jpg,14,"[{'amount': '2', 'unit': None, 'name': 'red bell peppers ', 'notes': ""chopped, 2' pieces""}, {'amount': '20', 'unit': 'oz.', 'name': 'frozen cubed butternut squash', 'notes': 'or fresh'}, {'amount': '6', 'unit': 'small', 'name': ' garlic cloves ', 'notes': 'peeled'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'chicken bone broth', 'notes': '32 oz'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low-fat cottage cheese', 'notes': '110g'}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'onion powder', 'notes': None}, {'amount': '1-2', 'unit': 'tsp.', 'name': 'garlic powder', 'notes': '*see notes'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'ground ginger', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': None, 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Preheat the oven to 400 degrees fahrenheit. Add the bell peppers, butternut squash and garlic to a large sheet pan. Drizzle the olive oil, salt and pepper over the top and mix to combine and coat. Roast in the oven for 40-45 minutes or until the bell peppers are nice and chared and soft. ,Remove the peppers and squash from the oven and scoop into a large high speed blender. Add 1 cup bone broth and the cottage cheese and blend for approximately 5 minutes or until everything is smooth and well blended.,Over medium heat, add the blended peppers and squash to a large dutch oven or soup pot. Pour 2 cups of the broth into the blender and swish around, this is how you’ll get all the blended mixture out, and pour into the dutch oven. ,Add the remaining broth, salt, onion powder, garlic powder, ginger, coconut aminos and lots of fresh cracked pepper. Bring to a simmer and simmer until it’s warmed through while whisking to ensure the mixture incorporates into the broth. ,Serve topped with blended cottage cheese for extra creaminess, or cream, croutons, fresh basil or chopped green onions and a dash of red pepper flakes for some heat is desired.",2.5,,0.5,461,10,13,52533,0.9,4,1479,10,Butternut Squash and Red Pepper Soup
385,35,29,40,"Breakfast, Main Course, Side Dish",American,"This , is a recipe favorite for parties, bridal showers, Mother's Day and Sunday brunch. Made with a flaky pie crust, egg whites and crispy bacon, this quiche is easy to make and delicious.",22,,Easy Bacon and Mushroom Egg White Breakfast Quiche,https://ohsnapmacros.com/wp-content/uploads/2024/04/Baconandmushroomquiche-14-300x300.jpg,8,"[{'amount': '1', 'unit': None, 'name': 'pie crust', 'notes': 'store-bought'}, {'amount': '6', 'unit': 'pieces', 'name': None, 'notes': 'cooked and chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'cremini mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': 'cloves', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'liquid egg whites', 'notes': '350g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'low fat milk', 'notes': '120g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese, shredded', 'notes': '56g'}, {'amount': None, 'unit': None, 'name': 'salt and black pepper ', 'notes': None}]","Pre-heat oven according to pie crust package. Place one pie crust in a pie dish, poke a few holes in the bottom and bake 1/2 the recommended time. Example: if the package asks to bake at 425F for 12 minutes, cook at 425F for 6 minutes.,When the crust is done cooking, remove from the oven and lower the temperature to 350 degrees Fahrenheit. ,While the pie crust bakes, cook the bacon until cooked through and browned. Chop into bite size pieces. ,Drain the excess bacon fat from the pan and in the same pan sautee the garlic and mushrooms over medium heat until the mushrooms are soft and browned. Return the chopped bacon to the pan and mix to combine and remove from the heat. ,In a bowl whisk together egg whites, milk, cheese, salt and pepper.,Place the sautéed mushrooms and bacon in the pie dish on top of the pie crust and evenly coat the bottom.,Pour egg mixture over the bacon mixture. Be sure the cheese does not pool to the middle of the quiche, use a spoon to move around as needed.,Bake at 350F for 35-40 minutes or longer until the egg its fully cooked and toothpick comes out clean. Note, bake times will vary oven to oven.,Slice into 6 equal slices and enjoy!",8,,2,213,15,13,44704,9,6,675,2,Bacon and Mushroom Quiche
62,6,6,0,"Appetizer, Snack",American,"This , is made with simple ingredients like Greek yogurt, cottage cheese, spinach and flavorful spices. This healthier option to a classic dip is low in fat, high in protein and perfect for game days, parties or when you want a healthy snack. Serve this great dip with pita chips, fresh veggies or fresh bread.",1,1,Low Fat Cottage Cheese Spinach Dip,https://ohsnapmacros.com/wp-content/uploads/2024/07/cottagecheesespinachdip-10-300x300.jpg,8,"[{'amount': '16', 'unit': 'oz.', 'name': 'low-fat cottage cheese', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'non-fat plain Greek yogurt', 'notes': '112g'}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen chopped spinach', 'notes': 'cooked, cooled and squeezed dry'}, {'amount': '1', 'unit': 'package', 'name': 'Knorr Vegetable Recipe Mix', 'notes': None}, {'amount': '8', 'unit': 'oz', 'name': 'water chestnuts', 'notes': 'drained and chopped'}, {'amount': '3', 'unit': None, 'name': 'green onions', 'notes': 'chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'garlic powder ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'salt and black pepper', 'notes': 'to taste'}]","In a high-speed blender add the cottage cheese and Greek yogurt. Blend until smooth and no chalkiness from the cottage cheese remains approx 5 minutes. ,Remove the blade and add the remaining ingredients directly to the blender, this helps to ensure you get all the cottage cheese mixture out easier. Combine with a rubber spatula and transfer to a large bowl. ,Cover and refrigerate for 2 hours before serving. Adjust with salt and pepper or additional garlic powder to taste. ,Optional! You can add 1-2 tsp of honey to cut the taste of the Greek yogurt some if it’s too tart for you. ",,to taste,,115,5,7,48729,0.5,11,390,3,Cottage Cheese Spinach Dip
83,5,12,12,Dessert,American,"These , are soft and chewy with a delicious nutty flavor. Gluten and dairy-free and only 83 calories each, these cookies are easy to throw together in just one bowl and a perfect snack or lunch box addition throughout the week. ",6,1,Almond Flour Peanut Butter Cookies (gluten and dairy-free),https://ohsnapmacros.com/wp-content/uploads/2024/10/almondflourpeanutbuttercookies10-300x300.jpg,8,"[{'amount': '1/2', 'unit': 'cup', 'name': 'natural peanut butter', 'notes': '128g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'light brown sugar, lightly packed', 'notes': '48g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '48g'}, {'amount': '1', 'unit': 'large', 'name': 'egg', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'pure vanilla extract', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'baking powder', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'almond flour', 'notes': '60g'}]","Preheat the oven to 350 degrees and line a large baking sheet with parchment paper. ,Beat together the peanut butter, sugars, egg, vanilla, and salt in a stand mixer or with an electric mixer until combined. The mixture will be smooth and fairly thick. Add the almond flour and baking powder and mix until you have a stiff and tacky cookie dough. ,Scoop rounded tablespoons of the dough then roll it into a ball with your hands. Place the cookie dough balls about 1 ½ inches apart on the lined baking sheet. Use a dinner fork dipped in cold water to create a criss-cross pattern and flatten the top of each cookie. To ensure the fork doesn’t stick, make sure to dip it into cold water between each cookie and use a rocking motion rather than trying to lift it straight up. ,Bake the cookies for 10-12 minutes until they are just turning golden around the edges. Cool the cookies on the pan for at least 10 minutes before moving them to a cooling rack.",3,60g,1,90,10,3,52841,1,18,68,4,Almond Flour Peanut Butter Cookies
